size 	Prob 	l_cl_mean 	l_cl_dvi 	perc_mean 	perc_dvi 
128	4.31999981e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
128	4.85999972e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
128	5.49999952e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
128	5.59999943e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
128	5.69999933e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
128	5.79999924e-01	6.08581543e-02	1.66502285e-02	 2.00000000e-01	1.68421053e-01
128	5.89999914e-01	1.87438965e-01	2.53513663e-02	 6.50000000e-01	2.39473684e-01
128	5.99999905e-01	2.98550415e-01	2.89253637e-02	 8.00000000e-01	1.68421053e-01
128	6.09999895e-01	3.61312866e-01	3.11023989e-02	 8.50000000e-01	1.34210526e-01
128	6.19999886e-01	4.75021362e-01	4.08784099e-03	 1.00000000e+00	0.00000000e+00
128	6.29999876e-01	5.38201904e-01	7.32078717e-04	 1.00000000e+00	0.00000000e+00
128	6.39999866e-01	5.79071045e-01	2.22726284e-04	 1.00000000e+00	0.00000000e+00
128	6.49999857e-01	6.06256104e-01	1.49083334e-04	 1.00000000e+00	0.00000000e+00
128	6.94999874e-01	6.78329468e-01	2.01796525e-05	 1.00000000e+00	0.00000000e+00
128	7.29999900e-01	7.21334839e-01	2.26106593e-05	 1.00000000e+00	0.00000000e+00
128	7.64999926e-01	7.60601807e-01	1.39553688e-05	 1.00000000e+00	0.00000000e+00
128	7.99999952e-01	7.98040771e-01	9.67552003e-06	 1.00000000e+00	0.00000000e+00
128	8.34999979e-01	8.33999634e-01	7.74973121e-06	 1.00000000e+00	0.00000000e+00
128	8.70000005e-01	8.69400024e-01	8.89829703e-06	 1.00000000e+00	0.00000000e+00
128	9.05000031e-01	9.05191040e-01	9.26510088e-06	 1.00000000e+00	0.00000000e+00
128	9.40000057e-01	9.40054321e-01	6.07272316e-06	 1.00000000e+00	0.00000000e+00
128	9.75000083e-01	9.74948120e-01	1.99066769e-06	 1.00000000e+00	0.00000000e+00
256	5.40000014e-02	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	1.08000003e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	1.62000000e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	2.16000006e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	2.70000011e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
